시나리오ID,화면명,URL,전제조건,테스트단계,기대결과,우선순위,피그마일치여부
SCR-00,로그인,https://staging.ailex.co.kr,로그아웃 상태,"1. https://staging.ailex.co.kr 접속
2. 이메일 test2026@softplant.co.kr 입력
3. 비밀번호 softplant1234! 입력
4. 로그인 버튼 클릭",홈(사건목록) 화면으로 이동함,P1,코드만
SCR-00-E1,로그인 실패 — 잘못된 비밀번호,https://staging.ailex.co.kr,로그아웃 상태,"1. https://staging.ailex.co.kr 접속
2. 이메일 test2026@softplant.co.kr 입력
3. 비밀번호 wrongpassword 입력
4. 로그인 버튼 클릭",에러 메시지 표시 (비밀번호 불일치) / 화면 유지,P1,코드만
SCR-00-E2,로그인 실패 — 빈 필드,https://staging.ailex.co.kr,로그아웃 상태,"1. https://staging.ailex.co.kr 접속
2. 이메일·비밀번호 입력 없이 로그인 버튼 클릭",필수 입력 안내 메시지 표시 / 로그인 차단,P1,코드만
SCR-01,홈(사건목록),https://staging.ailex.co.kr/,로그인 상태,"1. 로그인 후 자동 이동 또는 / 접속
2. 사건 목록 표시 확인
3. 사건 항목 클릭","사건 목록이 표시됨 / 사건 선택 시 /case-list로 이동함",P1,코드만
SCR-02,민사 사건 기록 목록,https://staging.ailex.co.kr/case-list?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG&tab=list,로그인 상태 / 민사 사건 존재 (CIVIL_CASE_ID),"1. /case-list?...&tab=list 접속
2. 기록 목록 탭 선택 확인
3. 문서 목록 테이블 표시 확인
4. 컬럼 헤더 클릭 (정렬)
5. 검색어 입력","기록 목록이 페이지네이션으로 표시됨 / 정렬·검색 동작함",P1,일치
SCR-02-E1,민사 사건 기록 목록 — 문서 없음,https://staging.ailex.co.kr/case-list?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG&tab=list,로그인 상태 / 문서가 없는 사건,"1. 문서가 없는 사건으로 /case-list 접속
2. 기록 목록 탭 확인","빈 상태 UI(empty state)가 표시됨",P2,코드만
SCR-03,민사 사건 문서 검색 — 키워드 검색,https://staging.ailex.co.kr/case-list?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG&tab=list,로그인 상태 / 기록 목록 탭 진입 상태,"1. 기록 목록 탭에서 검색창에 키워드 입력
2. 검색 결과 확인
3. 결과 문서 클릭","검색 키워드가 포함된 문서만 필터링되어 표시됨 / 문서 클릭 시 뷰어 진입",P2,일치
SCR-04,민사 사건 문서 검색 — 파워검색,https://staging.ailex.co.kr/case-list?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG&tab=list,로그인 상태 / 기록 목록 탭 진입,"1. 파워검색 버튼 클릭
2. 파워검색 조건 입력
3. 검색 실행","파워검색 조건에 맞는 결과 표시됨",P2,일치
SCR-05,민사 사건 문서 업로드 (PDF),https://staging.ailex.co.kr/case-list?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG&tab=list,로그인 상태 / 기록 목록 탭 진입 / sample_file.pdf 준비됨 (199KB PDF),"1. 기록 목록 탭에서 문서 업로드 버튼 클릭
2. sample_file.pdf 파일 선택 (199KB)
3. 문서 제목 입력 (예: Claude Code 사용 가이드)
4. 문서 유형 선택
5. 원고/피고 여부 선택
6. 업로드 버튼 클릭","파일이 업로드되어 목록에 추가됨 / 진행 상태 표시됨 / 완료 후 목록 갱신",P1,코드만
SCR-05-E1,민사 사건 문서 업로드 — 한글 파일명,https://staging.ailex.co.kr/case-list?civil_case_id=ccase_01KJ9BX7N9407DKCQ2SMNT6XC8&project_id=prj_01KJ9BX7GMEGDP0XARME8DR3RG&tab=list,로그인 상태 / 한글 파일명 PDF 준비 (예: 증거서류_제출.pdf),"1. 문서 업로드 버튼 클릭
2. 한글 파일명 PDF 선택
3. 업로드 실행","업로드 성공 / 파일명 NFC 정규화 적용되어 서버 판별 정상 처리됨",P2,코드만
